Year,ID,STATION NAME,STATION LOCATION,AIR INTAKE,Ambient,Road-side,CAAQS,NAPS,AQHI/AQI,O3,PM2.5,NO2,SO2,CO,TRS,,
2018,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2018,35125,TORONTO WEST,125 RESOURCES RD.,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2018,44008,BURLINGTON,NORTH SHORE BLVD. E./LAKESHORE RD. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,44017,OAKVILLE,"EIGHTH LINE/GLENASHTON DR., HALTON RESERVOIR",12,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,45027,OSHAWA,"BRITTANIA AVE. W., EP TAYLOR STABLES",7,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,46090,BRAMPTON,109 McLAUGHLIN RD. S.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,46108,MISSISSAUGA,"3359 MISSISSAUGA RD. N., U OF T CAMPUS",5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,47045,BARRIE,83 PERRY ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,48006,NEWMARKET,EAGLE ST. W./McCAFFREY RD.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2018,49005,PARRY SOUND,7 BAY ST.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2018,49010,DORSET,1026 BELLWOOD ACRES RD.,3,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2018,51001,OTTAWA DOWNTOWN,RIDEAU ST./WURTEMBURG ST.,4,Y,N,Y,Y,Y,R,R,R,R,R,NR,,
2018,51010,PETAWAWA,PETAWAWA RESEARCH FOREST FACILITY,6,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2018,52023,KINGSTON,23 BEECHGROVE LANE,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,54012,BELLEVILLE,"2 SIDNEY ST., WATER TREATMENT PLANT",10,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2018,56051,CORNWALL,BEDFORD ST./3RD ST. W.,4,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2018,59006,PETERBOROUGH,10 HOSPITAL DR.,10,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,63203,THUNDER BAY,421 JAMES ST. S. ,15,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,71078,SAULT STE. MARIE,SAULT COLLEGE,8,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2018,75010,NORTH BAY,"CHIPPEWA ST. W., DEPT. NATIONAL DEFENCE",4,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2018,77233,SUDBURY,155 ELM ST.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2017,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2017,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2017,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2017,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2017,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2017,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2017,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2017,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2017,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2017,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2017,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
