Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum,No. of Times Above 1-Hour Criterion,
2021,33003,Toronto East,Kennedy Rd./Lawrence Ave. E.,A,8677,10,20,26,32,41,60,26.2,78,55.1,0,
2021,34021,Toronto North,"4905 Dufferin St., ECCC",A,8466,9,19,26,32,43,64,26.4,86,61.4,3,
2021,35125,Toronto West,125 Resources Rd.,A,8667,5,15,22,29,39,61,22.8,81,56.1,1,
2021,44008,Burlington,North Shore Blvd. E./Lakeshore Rd.,A,8681,11,21,27,34,43,60,27.4,80,59.4,0,
2021,44017,Oakville,"Eighth Line/Glenashton Dr., Halton Res.",A,8700,13,22,29,34,44,63,28.8,84,61.8,2,
2021,44029,Milton,1120 Main St. E.,A,8663,9,21,28,34,43,63,27.2,84,61.5,3,
2021,45027,Oshawa,"Brittania Ave. W., EP Taylor Stables",A,8704,9,21,28,33,42,62,26.9,80,47.6,0,
2021,46090,Brampton,109 Mclaughlin Rd. S.,A,8670,11,22,29,35,44,64,28.3,84,61.3,3,
2021,46108,Mississauga,"3359 Mississauga Rd. N., U of T Campus",A,8390,8,19,27,33,42,61,26.2,81,60.8,1,
2021,47045,Barrie,83 Perry St.,A,8727,9,19,25,31,39,55,25.0,82,50.2,1,
2021,48006,Newmarket,Eagle St. W./McCaffrey Rd.,A,8692,15,24,30,36,44,63,30.2,81,61.6,1,
2021,49005,Parry Sound,7 Bay St.,A,8700,17,25,30,35,44,61,30.3,80,58.3,0,
2021,49010,Dorset,1026 Bellwood Acres Rd.,A,8741,9,21,28,34,42,59,26.8,70,47.6,0,
2021,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8756,11,20,26,32,40,56,25.8,68,51.2,0,
2021,51010,Petawawa,Petawawa Research Forest Facility,A,8710,11,20,27,33,41,55,26.7,66,52.3,0,
2021,52023,Kingston,23 Beechgrove Lane,A,8692,15,24,30,36,44,62,30.2,78,62.5,0,
2021,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8627,14,24,30,36,46,65,30.3,82,64.3,1,
2021,56051,Cornwall,Bedford St./3rd St. W.,A,8696,11,21,27,33,42,57,26.7,70,58.3,0,
2021,59006,Peterborough,10 Hospital Dr.,A,8670,13,22,28,35,43,61,28.6,85,57.4,1,
2021,63203,Thunder Bay,421 James St. S.,A,8759,8,19,25,31,39,50,24.4,65,49.9,0,
2021,71078,Sault Ste. Marie,Sault College,A,8725,16,24,29,34,42,56,29.2,66,52.5,0,
2021,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8411,10,21,27,32,41,58,26.4,71,54.1,0,
2021,77233,Sudbury,155 Elm St.,A,8635,12,19,24,29,36,47,23.9,56,45.2,0,
2020,12008,Windsor Downtown,467 University Ave. W.,A,8705,12,21,27,32,43,64,27.3,81,52.9,1,
2020,12016,Windsor West,College Ave./South St.,A,8644,11,20,26,31,41,61,26.0,83,48.7,2,
2020,13001,Chatham,435 Grand Ave. W.,A,8744,15,23,28,34,43,61,29.1,77,56.4,0,
2020,14111,Sarnia,700 Christina St. N.,A,8719,13,21,26,32,39,62,26.7,82,49.5,1,
2020,15020,Grand Bend,Point Blake Conservation Area,A,8709,17,25,31,36,43,65,30.9,93,54.7,12,
