 Country ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 Austria ,15373056894.0,17858749698.0,22060179956.0,29514760528.0,35188342682.0,40058428685.0,42959105617.0,51547566800.0,62050455509.0,73940789595.0,82055323544.0,71031275399.0,71272755267.0,72118456194.0,67984559664.0,69388407938.0,99035642853.0,124000000000.0,133000000000.0,133000000000.0,166000000000.0,174000000000.0,195000000000.0,190000000000.0,204000000000.0,241000000000.0,237000000000.0,213000000000.0,218000000000.0,217000000000.0,197000000000.0,197000000000.0,213000000000.0,262000000000.0,301000000000.0,316000000000.0,336000000000.0,389000000000.0,430000000000.0,400000000000.0,392000000000.0,431000000000.0,409000000000.0,430000000000.0,442000000000.0,382000000000.0,396000000000.0,417000000000.0,455000000000.0,445000000000.0,435000000000.0,480000000000.0
 Bahamas ,762965055.0,790540410.0,850048649.0,972468120.0,1179144440.0,1101104088.0,1212959869.0,1288018707.0,1501748179.0,1824624083.0,2189549043.0,2268372957.0,2554188014.0,2842811439.0,3036122483.0,3306337382.0,3574150547.0,3935169678.0,4091463142.0,4612085023.0,4767541687.0,4685397547.0,4682384800.0,4656325033.0,4907552998.0,5164608418.0,5862513960.0,6332400000.0,6833200000.0,7683900000.0,8076500000.0,8317800000.0,8881200000.0,8870100000.0,9055300000.0,9836200000.0,10167300000.0,10618300000.0,10526000000.0,9982000000.0,10095800000.0,10070400000.0,10720496826.0,10562800000.0,11176100000.0,11861900000.0,11834600000.0,12357600000.0,12755800000.0,13192800000.0,9699510000.0,11208600000.0
 Bahrain ,422003552.0,454985468.0,575580428.0,820273128.0,1123155693.0,1184510018.0,1704610160.0,2143884345.0,2448582231.0,2919845264.0,3764309882.0,4249495447.0,4467526927.0,4577031528.0,4785937614.0,4475022766.0,3740429415.0,3800396218.0,4173233306.0,4478281832.0,4909130285.0,5197557577.0,5432210287.0,5946492302.0,6410106980.0,6786968612.0,7059043163.0,7315426213.0,6997873038.0,7582447229.0,9062906941.0,8976207763.0,9593509106.0,11074822141.0,13150166878.0,15968726806.0,18504758606.0,21730012434.0,25710874407.0,22938220338.0,25713271277.0,28776609460.0,30749332535.0,32539557497.0,33387686170.0,31050638298.0,32235106383.0,35473670213.0,37801861702.0,38653457447.0,34723351064.0,38868670213.0
 Bangladesh ,6195774654.0,5577824265.0,6211617337.0,6769905343.0,8086909309.0,8474735042.0,9447322262.0,9949540465.0,12750957172.0,14758225423.0,16729233787.0,16967808187.0,15443050924.0,15760530887.0,18474003543.0,19169047073.0,20219807923.0,22974397200.0,24814782417.0,26954551854.0,28136571390.0,30066722399.0,30690544964.0,31685289282.0,33674743447.0,37866029743.0,39795982701.0,41169352757.0,42676520395.0,44758115448.0,45469586064.0,45432923187.0,47194755390.0,51690437358.0,55949962466.0,57628097481.0,69971619881.0,81280474314.0,95017385937.0,108000000000.0,123000000000.0,135000000000.0,144000000000.0,174000000000.0,200000000000.0,229000000000.0,264000000000.0,289000000000.0,316000000000.0,349000000000.0,374000000000.0,415000000000.0
 Barbados ,217984527.0,245022768.0,280300467.0,341996846.0,408931502.0,480681170.0,521708283.0,593439439.0,664155250.0,805288240.0,1033561744.0,1137545044.0,1188551211.0,1261835248.0,1375374738.0,1439341489.0,1580355027.0,1740242042.0,1851034127.0,2046876309.0,2054700440.0,2038240621.0,1970028303.0,2077925952.0,2184662326.0,2297053607.0,2449281689.0,2588836721.0,2919042911.0,3058799903.0,3152105872.0,3147208319.0,3200677486.0,3306959448.0,3548807712.0,3935512483.0,4217450000.0,4674010000.0,4784925000.0,4465660000.0,4529928500.0,4657699500.0,4610096000.0,4677248500.0,4696344500.0,4724691000.0,4832812000.0,4981588500.0,5097282500.0,5324250000.0,4671800000.0,4843800000.0
 Belgium ,26706893654.0,29821889465.0,37209655821.0,47743692897.0,56034095904.0,65676349621.0,71114099863.0,82838174625.0,101000000000.0,116000000000.0,127000000000.0,105000000000.0,92092676202.0,87182800568.0,83348024082.0,86265792874.0,120000000000.0,149000000000.0,162000000000.0,164000000000.0,205000000000.0,211000000000.0,235000000000.0,225000000000.0,245000000000.0,288000000000.0,279000000000.0,253000000000.0,259000000000.0,258000000000.0,236000000000.0,237000000000.0,257000000000.0,317000000000.0,369000000000.0,386000000000.0,408000000000.0,470000000000.0,515000000000.0,481000000000.0,481000000000.0,523000000000.0,496000000000.0,522000000000.0,535000000000.0,462000000000.0,476000000000.0,503000000000.0,543000000000.0,536000000000.0,525000000000.0,594000000000.0
 Belize ,27917782.0,35385285.0,46000141.0,74809672.0,99801545.0,115631825.0,91148264.0,117157470.0,133767698.0,156357607.0,215600751.0,213607523.0,198492217.0,209288864.0,233539796.0,231657304.0,252364721.0,322035746.0,385750267.0,467890526.0,549439826.0,598937124.0,693495453.0,750885545.0,771666536.0,818672775.0,851461868.0,867888646.0,914247391.0,975043702.0,1116008766.0,1163224445.0,1232761176.0,1298094279.0,1389709542.0,1461541587.0,1580978901.0,1696115392.0,1729093475.0,1680692645.0,1738678810.0,1819538339.0,1903233226.0,2029565283.0,2137962642.0,2210422670.0,2258430073.0,2286221544.0,2315030002.0,2416650736.0,2080159837.0,2491673431.0
 Benin ,322055483.0,341787647.0,420920211.0,515609659.0,553903483.0,673957826.0,717765317.0,785887967.0,953850384.0,1161734065.0,1484452237.0,1404274746.0,1369643303.0,1183358030.0,1135586760.0,1129578665.0,1442809953.0,1687767630.0,1749715035.0,1622703791.0,1992948719.0,2019866679.0,2283484177.0,2312835609.0,1624969037.0,2344819023.0,2758951646.0,2865784253.0,3353718682.0,3676045829.0,3511248329.0,3663017333.0,4174635153.0,5337266451.0,6179176612.0,6565042878.0,7027862692.0,8158258353.0,9748277553.0,9699587373.0,9526050116.0,10679326973.0,11141996171.0,12514287691.0,13266857630.0,11379544643.0,11821065852.0,12701655846.0,14262408080.0,14391686309.0,15686741894.0,17687623535.0
 Bermuda ,265536110.0,300883912.0,335519057.0,384122285.0,445553344.0,491733538.0,550599032.0,597643786.0,646442540.0,751525864.0,902432407.0,986968887.0,1101104098.0,1226389730.0,1291037116.0,1428256203.0,1585802885.0,1735769786.0,1854571887.0,1966357992.0,2034951875.0,2114195038.0,2150214657.0,2290221350.0,2382306290.0,2556766532.0,2714000000.0,2932715906.0,3130460000.0,3324900000.0,3480218951.0,3680483000.0,3937228000.0,4186525000.0,4484702566.0,4868135685.0,5368123000.0,6085088980.0,6578290955.0,6524292660.0,6634524000.0,6312690000.0,6378189000.0,6465756000.0,6413987000.0,6654543000.0,6899912000.0,7142316000.0,7225974000.0,7423466000.0,6881660000.0,7230610106.0
 Bhutan ,61775644.0,66328730.0,70098481.0,78853743.0,92846971.0,86769539.0,88409074.0,97826681.0,94030714.0,105315824.0,128593292.0,144715922.0,152191512.0,170819919.0,167818612.0,172203230.0,203764374.0,245288277.0,264621980.0,254214325.0,273600042.0,233143033.0,234703243.0,220857694.0,259552943.0,289135174.0,305640640.0,356322548.0,360373467.0,401809192.0,439142550.0,476396897.0,537046607.0,621982253.0,702736807.0,796938571.0,874989734.0,1168307576.0,1227809259.0,1234015533.0,1547981484.0,1777100670.0,1781277015.0,1756207129.0,1907085589.0,2003596258.0,2158977045.0,2450366316.0,2446867538.0,2535668984.0,2315437338.0,2381373513.0
